"V1","V2"
-2344,-2381
-24032,-24033
1110,-20633
1677,-21542
1289,-29889
1220,-27032
-17789,-17790
-1795,-1802
1690,-28650
-10376,-10377
-11191,-11213
-628,-630
1326,-26326
1122,-18050
-8782,-8784
1100,-19400
1450,-3765
-10816,-10822
-5178,-5181
-29338,-29339
480,-31171
1787,-24531
1718,-9444
1010,-17363
583,-17527
1704,1293
1685,-8491
1564,-23658
-6490,-6510
995,-14414
-11005,-15795
1679,889
-7745,-7763
1631,-17768
1531,-1757
1751,-13552
1708,-5605
1765,-10773
-4320,-9913
-1630,-10417
1493,-24414
-8560,-19493
1709,-9186
-11932,-12049
-1121,-1163
-22448,-22452
1672,-9793
1738,-20168
1279,-29305
-1803,-1822
-444,-446
1877,1256
-359,-3456
726,-10292
1728,-29153
920,-16256
489,-21102
268,-10267
1239,-21663
1771,-5019
-18820,-18840
1486,-26654
-241,-309
795,-3288
1595,-31496
1146,-6258
1559,-511
908,-23761
1431,-6771
1003,-27908
-20227,-25962
1369,-15521
-5855,-12062
-1342,-1345
-834,-867
1528,-22950
1714,-8920
1461,-15637
1207,-4200
1214,-467
1028,-19187
790,-19556
1613,1188
1499,-621
-8812,-10162
1482,-18868
1247,-17262
-4221,-4229
1917,-17110
-2822,-8217
